bin_id,bin_lower,bin_upper,n_bin,mean_pred,frac_positive,abs_gap,weighted_gap,year,time_gap,model,threshold
8,0.8,0.9,16,0.8538014312816997,0.1875,0.6663014312816997,0.00018982946760162385,2018,4,logreg,0.1743370848987072
9,0.9,1.0,33,0.9770855569531672,0.09090909090909091,0.8861764660440763,0.0005207233507737627,2018,4,logreg,0.1743370848987072
0,0.0,0.1,48221,0.0736878605146532,0.09203459073847493,0.01834673022382173,0.002355782635072169,2015,1,mlp,0.1569245504673814
1,0.1,0.2,209915,0.15427736937002492,0.18210227949408095,0.027824910124056024,0.015553121769520988,2015,1,mlp,0.1569245504673814
2,0.2,0.30000000000000004,112368,0.23328396749643082,0.2795190801651716,0.04623511266874075,0.013834227080150769,2015,1,mlp,0.1569245504673814
3,0.30000000000000004,0.4,5039,0.32058747996244996,0.34312363564199244,0.02253615567954248,0.00030238797812557965,2015,1,mlp,0.1569245504673814
4,0.4,0.5,0,,,,0.0,2015,1,mlp,0.1569245504673814
5,0.5,0.6000000000000001,0,,,,0.0,2015,1,mlp,0.1569245504673814
6,0.6000000000000001,0.7000000000000001,0,,,,0.0,2015,1,mlp,0.1569245504673814
7,0.7000000000000001,0.8,0,,,,0.0,2015,1,mlp,0.1569245504673814
8,0.8,0.9,0,,,,0.0,2015,1,mlp,0.1569245504673814
9,0.9,1.0,0,,,,0.0,2015,1,mlp,0.1569245504673814
0,0.0,0.1,40878,0.07257081305402638,0.11468271441851363,0.04211190136448725,0.005874114264383754,2016,2,mlp,0.1569245504673814
1,0.1,0.2,163535,0.15385446383761672,0.21437001253554286,0.060515548697926136,0.033769574711797874,2016,2,mlp,0.1569245504673814
2,0.2,0.30000000000000004,84768,0.23289424982920703,0.31838665534163835,0.08549240551243131,0.024729046671732046,2016,2,mlp,0.1569245504673814
3,0.30000000000000004,0.4,3875,0.3214584333490419,0.3855483870967742,0.0640899537477323,0.0008474411830205819,2016,2,mlp,0.1569245504673814
4,0.4,0.5,1,0.40350240207308447,1.0,0.5964975979269156,2.0354320078582512e-06,2016,2,mlp,0.1569245504673814
5,0.5,0.6000000000000001,0,,,,0.0,2016,2,mlp,0.1569245504673814
6,0.6000000000000001,0.7000000000000001,0,,,,0.0,2016,2,mlp,0.1569245504673814
7,0.7000000000000001,0.8,0,,,,0.0,2016,2,mlp,0.1569245504673814
8,0.8,0.9,0,,,,0.0,2016,2,mlp,0.1569245504673814
9,0.9,1.0,0,,,,0.0,2016,2,mlp,0.1569245504673814
0,0.0,0.1,29653,0.07045077283154166,0.11307456243887634,0.04262378960733468,0.007473661626130402,2017,3,mlp,0.1569245504673814
1,0.1,0.2,93631,0.15281333592679902,0.21980967841847251,0.0669963424916735,0.03709227661227364,2017,3,mlp,0.1569245504673814
2,0.2,0.30000000000000004,43873,0.2323821013293252,0.3287671232876712,0.096385021958346,0.025004583030555853,2017,3,mlp,0.1569245504673814
3,0.30000000000000004,0.4,1960,0.32049075664164767,0.3846938775510204,0.06420312090937275,0.0007440891038888496,2017,3,mlp,0.1569245504673814
4,0.4,0.5,0,,,,0.0,2017,3,mlp,0.1569245504673814
5,0.5,0.6000000000000001,0,,,,0.0,2017,3,mlp,0.1569245504673814
6,0.6000000000000001,0.7000000000000001,0,,,,0.0,2017,3,mlp,0.1569245504673814
7,0.7000000000000001,0.8,0,,,,0.0,2017,3,mlp,0.1569245504673814
8,0.8,0.9,0,,,,0.0,2017,3,mlp,0.1569245504673814
9,0.9,1.0,0,,,,0.0,2017,3,mlp,0.1569245504673814
0,0.0,0.1,12918,0.06803628197639809,0.08391391856324508,0.015877636586846988,0.003652195680713842,2018,4,mlp,0.1569245504673814
1,0.1,0.2,30298,0.15060179846938312,0.15298039474552777,0.0023785962761446455,0.0012832391377249016,2018,4,mlp,0.1569245504673814
2,0.2,0.30000000000000004,12317,0.23268718413809797,0.23650239506373305,0.003815210925635082,0.0008367512993420104,2018,4,mlp,0.1569245504673814
3,0.30000000000000004,0.4,627,0.3226509499676635,0.3413078149920255,0.01865686502436198,0.0002082951276758362,2018,4,mlp,0.1569245504673814
4,0.4,0.5,0,,,,0.0,2018,4,mlp,0.1569245504673814
5,0.5,0.6000000000000001,0,,,,0.0,2018,4,mlp,0.1569245504673814
6,0.6000000000000001,0.7000000000000001,0,,,,0.0,2018,4,mlp,0.1569245504673814
7,0.7000000000000001,0.8,0,,,,0.0,2018,4,mlp,0.1569245504673814
8,0.8,0.9,0,,,,0.0,2018,4,mlp,0.1569245504673814
9,0.9,1.0,0,,,,0.0,2018,4,mlp,0.1569245504673814
0,0.0,0.1,72596,0.07220864936536882,0.08676786599812662,0.014559216632757804,0.002814433741733132,2015,1,xgboost,0.16295350513544427
1,0.1,0.2,187216,0.14807783647876308,0.17974959405179045,0.03167175757302737,0.015789030193058832,2015,1,xgboost,0.16295350513544427
2,0.2,0.30000000000000004,91856,0.24030833226021725,0.28758056087789585,0.0472722286176786,0.011562558300661937,2015,1,xgboost,0.16295350513544427
3,0.30000000000000004,0.4,21360,0.3343462867376286,0.3892790262172285,0.05493273947959987,0.0031244446449121754,2015,1,xgboost,0.16295350513544427
4,0.4,0.5,2327,0.4310986897081687,0.43919209282337773,0.008093403115209008,5.0149647441415134e-05,2015,1,xgboost,0.16295350513544427
5,0.5,0.6000000000000001,174,0.5295543006096763,0.5229885057471264,0.006565794862549934,3.0421238209304624e-06,2015,1,xgboost,0.16295350513544427
6,0.6000000000000001,0.7000000000000001,13,0.6169427266487708,0.5384615384615384,0.07848118818723238,2.7167473403419073e-06,2015,1,xgboost,0.16295350513544427
7,0.7000000000000001,0.8,1,0.7164217829704285,0.0,0.7164217829704285,1.907695744483131e-06,2015,1,xgboost,0.16295350513544427
8,0.8,0.9,0,,,,0.0,2015,1,xgboost,0.16295350513544427
9,0.9,1.0,0,,,,0.0,2015,1,xgboost,0.16295350513544427
0,0.0,0.1,61722,0.07121557309003755,0.10806519555425942,0.03684962246422187,0.007761058079952712,2016,2,xgboost,0.16295350513544427
1,0.1,0.2,147803,0.14746114354671552,0.21616611300176586,0.06870496945505034,0.0346512814925588,2016,2,xgboost,0.16295350513544427
2,0.2,0.30000000000000004,66494,0.2394548547836405,0.3318946070322134,0.0924397522485729,0.02097438002169068,2016,2,xgboost,0.16295350513544427
3,0.30000000000000004,0.4,15107,0.33465782141096817,0.43364003442112925,0.09898221301016108,0.005102503239794659,2016,2,xgboost,0.16295350513544427
4,0.4,0.5,1768,0.43262630448217304,0.5135746606334841,0.08094835615131107,0.0004883578746643758,2016,2,xgboost,0.16295350513544427
5,0.5,0.6000000000000001,149,0.5296911425238487,0.47651006711409394,0.05318107540975481,2.7039040992207885e-05,2016,2,xgboost,0.16295350513544427
6,0.6000000000000001,0.7000000000000001,13,0.6323766433275663,0.6923076923076923,0.05993104898012602,2.6585395903924434e-06,2016,2,xgboost,0.16295350513544427
7,0.7000000000000001,0.8,1,0.7297067046165466,1.0,0.27029329538345337,9.223232865396607e-07,2016,2,xgboost,0.16295350513544427
8,0.8,0.9,0,,,,0.0,2016,2,xgboost,0.16295350513544427
9,0.9,1.0,0,,,,0.0,2016,2,xgboost,0.16295350513544427
0,0.0,0.1,42625,0.06880438642624952,0.11120234604105572,0.042397959614806205,0.010686170098695665,2017,3,xgboost,0.16295350513544427
1,0.1,0.2,84119,0.14654861025550392,0.22201880669052176,0.07547019643501784,0.03753896683312302,2017,3,xgboost,0.16295350513544427
2,0.2,0.30000000000000004,34062,0.23900183987616794,0.34942164288650107,0.11041980301033313,0.022239747217239942,2017,3,xgboost,0.16295350513544427
3,0.30000000000000004,0.4,7357,0.3346408284867411,0.45113497349463094,0.11649414500788985,0.005067778075669777,2017,3,xgboost,0.16295350513544427
4,0.4,0.5,853,0.43429673357417964,0.4912075029308324,0.056910769356652735,0.0002870491213847501,2017,3,xgboost,0.16295350513544427
5,0.5,0.6000000000000001,94,0.5369133790756794,0.5531914893617021,0.016278110286022773,9.047832961122421e-06,2017,3,xgboost,0.16295350513544427
6,0.6000000000000001,0.7000000000000001,7,0.6348541889871869,0.5714285714285714,0.06342561755861553,2.62527908436354e-06,2017,3,xgboost,0.16295350513544427
7,0.7000000000000001,0.8,0,,,,0.0,2017,3,xgboost,0.16295350513544427
8,0.8,0.9,0,,,,0.0,2017,3,xgboost,0.16295350513544427
9,0.9,1.0,0,,,,0.0,2017,3,xgboost,0.16295350513544427
0,0.0,0.1,17946,0.0660663015632816,0.0796277722055054,0.013561470642223808,0.004333585330223441,2018,4,xgboost,0.16295350513544427
1,0.1,0.2,26021,0.14402293788110176,0.15629683716997808,0.012273899288876317,0.005686950380980246,2018,4,xgboost,0.16295350513544427
2,0.2,0.30000000000000004,9293,0.2396126751810309,0.2546002367373292,0.014987561556298268,0.0024800464662158087,2018,4,xgboost,0.16295350513544427
3,0.30000000000000004,0.4,2326,0.3377442201046931,0.32115219260533107,0.01659202749936206,0.0006871982899486495,2018,4,xgboost,0.16295350513544427
4,0.4,0.5,490,0.4375876305662856,0.39591836734693875,0.04166926321934683,0.00036356728948504176,2018,4,xgboost,0.16295350513544427
5,0.5,0.6000000000000001,75,0.5292860221862793,0.49333333333333335,0.035952688852945947,4.801374045532312e-05,2018,4,xgboost,0.16295350513544427
6,0.6000000000000001,0.7000000000000001,9,0.6408796972698636,0.6666666666666666,0.025786969396803028,4.132527146923562e-06,2018,4,xgboost,0.16295350513544427
7,0.7000000000000001,0.8,0,,,,0.0,2018,4,xgboost,0.16295350513544427
8,0.8,0.9,0,,,,0.0,2018,4,xgboost,0.16295350513544427
9,0.9,1.0,0,,,,0.0,2018,4,xgboost,0.16295350513544427
